"","region_name","date","crime_type","average_price","sales_volume","revenue","no_of_crime"
"1","Barking and Dagenham","202004","Arson and Criminal Damage",291603,52,15163350,82
"2","Barking and Dagenham","202004","Burglary",291603,52,15163350,86
"3","Barking and Dagenham","202004","Drug Offences",291603,52,15163350,161
"5","Barking and Dagenham","202004","Miscellaneous Crimes Against Society",291603,52,15163350,33
"6","Barking and Dagenham","202004","Possession of Weapons",291603,52,15163350,14
"7","Barking and Dagenham","202004","Public Order Offences",291603,52,15163350,70
"8","Barking and Dagenham","202004","Robbery",291603,52,15163350,32
"9","Barking and Dagenham","202004","Sexual Offences",291603,52,15163350,25
"10","Barking and Dagenham","202004","Theft",291603,52,15163350,172
"11","Barking and Dagenham","202004","Vehicle Offences",291603,52,15163350,148
"12","Barking and Dagenham","202004","Violence Against the Person",291603,52,15163350,455
"13","Newham","202004","Arson and Criminal Damage",367288,63,23139137,153
"14","Newham","202004","Burglary",367288,63,23139137,123
"15","Newham","202004","Drug Offences",367288,63,23139137,250
"17","Newham","202004","Miscellaneous Crimes Against Society",367288,63,23139137,37
"18","Newham","202004","Possession of Weapons",367288,63,23139137,29
"19","Newham","202004","Public Order Offences",367288,63,23139137,124
"20","Newham","202004","Robbery",367288,63,23139137,71
"21","Newham","202004","Sexual Offences",367288,63,23139137,30
"22","Newham","202004","Theft",367288,63,23139137,323
"23","Newham","202004","Vehicle Offences",367288,63,23139137,263
"24","Newham","202004","Violence Against the Person",367288,63,23139137,672
"25","Brent","202004","Arson and Criminal Damage",471354,61,28752593,147
"26","Brent","202004","Burglary",471354,61,28752593,129
"27","Brent","202004","Drug Offences",471354,61,28752593,197
"29","Brent","202004","Miscellaneous Crimes Against Society",471354,61,28752593,25
"30","Brent","202004","Possession of Weapons",471354,61,28752593,19
"31","Brent","202004","Public Order Offences",471354,61,28752593,171
"32","Brent","202004","Robbery",471354,61,28752593,50
"33","Brent","202004","Sexual Offences",471354,61,28752593,22
"34","Brent","202004","Theft",471354,61,28752593,252
"35","Brent","202004","Vehicle Offences",471354,61,28752593,317
"36","Brent","202004","Violence Against the Person",471354,61,28752593,707
"37","Redbridge","202004","Arson and Criminal Damage",419898,73,30652576,96
"38","Redbridge","202004","Burglary",419898,73,30652576,73
"39","Redbridge","202004","Drug Offences",419898,73,30652576,174
"41","Redbridge","202004","Miscellaneous Crimes Against Society",419898,73,30652576,19
"42","Redbridge","202004","Possession of Weapons",419898,73,30652576,21
"43","Redbridge","202004","Public Order Offences",419898,73,30652576,84
"44","Redbridge","202004","Robbery",419898,73,30652576,30
"45","Redbridge","202004","Sexual Offences",419898,73,30652576,27
"46","Redbridge","202004","Theft",419898,73,30652576,218
"47","Redbridge","202004","Vehicle Offences",419898,73,30652576,288
"48","Redbridge","202004","Violence Against the Person",419898,73,30652576,460
"49","Harrow","202004","Arson and Criminal Damage",453073,70,31715120,67
"50","Harrow","202004","Burglary",453073,70,31715120,61
"51","Harrow","202004","Drug Offences",453073,70,31715120,104
"53","Harrow","202004","Miscellaneous Crimes Against Society",453073,70,31715120,19
"54","Harrow","202004","Possession of Weapons",453073,70,31715120,13
"55","Harrow","202004","Public Order Offences",453073,70,31715120,76
"56","Harrow","202004","Robbery",453073,70,31715120,21
"57","Harrow","202004","Sexual Offences",453073,70,31715120,18
"58","Harrow","202004","Theft",453073,70,31715120,121
"59","Harrow","202004","Vehicle Offences",453073,70,31715120,188
"60","Harrow","202004","Violence Against the Person",453073,70,31715120,352
"61","Barking and Dagenham","201905","Arson and Criminal Damage",295187,111,32765807,151
"62","Barking and Dagenham","201905","Burglary",295187,111,32765807,135
"63","Barking and Dagenham","201905","Drug Offences",295187,111,32765807,96
"65","Barking and Dagenham","201905","Miscellaneous Crimes Against Society",295187,111,32765807,40
"66","Barking and Dagenham","201905","Possession of Weapons",295187,111,32765807,25
"67","Barking and Dagenham","201905","Public Order Offences",295187,111,32765807,112
"68","Barking and Dagenham","201905","Robbery",295187,111,32765807,132
"69","Barking and Dagenham","201905","Sexual Offences",295187,111,32765807,51
"70","Barking and Dagenham","201905","Theft",295187,111,32765807,322
"71","Barking and Dagenham","201905","Vehicle Offences",295187,111,32765807,231
"72","Barking and Dagenham","201905","Violence Against the Person",295187,111,32765807,529
"73","Barking and Dagenham","201912","Arson and Criminal Damage",299755,115,34471786,128
"74","Barking and Dagenham","201912","Burglary",299755,115,34471786,156
"75","Barking and Dagenham","201912","Drug Offences",299755,115,34471786,83
"77","Barking and Dagenham","201912","Miscellaneous Crimes Against Society",299755,115,34471786,19
"78","Barking and Dagenham","201912","Possession of Weapons",299755,115,34471786,7
"79","Barking and Dagenham","201912","Public Order Offences",299755,115,34471786,95
"80","Barking and Dagenham","201912","Robbery",299755,115,34471786,60
"81","Barking and Dagenham","201912","Sexual Offences",299755,115,34471786,56
"82","Barking and Dagenham","201912","Theft",299755,115,34471786,294
"83","Barking and Dagenham","201912","Vehicle Offences",299755,115,34471786,233
"84","Barking and Dagenham","201912","Violence Against the Person",299755,115,34471786,525
"85","Hackney","202004","Arson and Criminal Damage",576243,60,34574609,126
"86","Hackney","202004","Burglary",576243,60,34574609,157
"87","Hackney","202004","Drug Offences",576243,60,34574609,113
"89","Hackney","202004","Miscellaneous Crimes Against Society",576243,60,34574609,31
"90","Hackney","202004","Possession of Weapons",576243,60,34574609,22
"91","Hackney","202004","Public Order Offences",576243,60,34574609,129
"92","Hackney","202004","Robbery",576243,60,34574609,57
"93","Hackney","202004","Sexual Offences",576243,60,34574609,26
"94","Hackney","202004","Theft",576243,60,34574609,318
"95","Hackney","202004","Vehicle Offences",576243,60,34574609,157
"96","Hackney","202004","Violence Against the Person",576243,60,34574609,505
"97","Barking and Dagenham","201704","Arson and Criminal Damage",280567,125,35070876,152
"98","Barking and Dagenham","201704","Burglary",280567,125,35070876,133
"99","Barking and Dagenham","201704","Drug Offences",280567,125,35070876,51
"101","Barking and Dagenham","201704","Miscellaneous Crimes Against Society",280567,125,35070876,27
"102","Barking and Dagenham","201704","Possession of Weapons",280567,125,35070876,10
"103","Barking and Dagenham","201704","Public Order Offences",280567,125,35070876,83
"104","Barking and Dagenham","201704","Robbery",280567,125,35070876,66
"105","Barking and Dagenham","201704","Sexual Offences",280567,125,35070876,34
"106","Barking and Dagenham","201704","Theft",280567,125,35070876,320
"107","Barking and Dagenham","201704","Vehicle Offences",280567,125,35070876,215
"108","Barking and Dagenham","201704","Violence Against the Person",280567,125,35070876,406
"109","Barking and Dagenham","201901","Arson and Criminal Damage",297181,119,35364526,102
"110","Barking and Dagenham","201901","Burglary",297181,119,35364526,159
"111","Barking and Dagenham","201901","Drug Offences",297181,119,35364526,85
"113","Barking and Dagenham","201901","Miscellaneous Crimes Against Society",297181,119,35364526,17
"114","Barking and Dagenham","201901","Possession of Weapons",297181,119,35364526,11
"115","Barking and Dagenham","201901","Public Order Offences",297181,119,35364526,56
"116","Barking and Dagenham","201901","Robbery",297181,119,35364526,84
"117","Barking and Dagenham","201901","Sexual Offences",297181,119,35364526,50
"118","Barking and Dagenham","201901","Theft",297181,119,35364526,285
"119","Barking and Dagenham","201901","Vehicle Offences",297181,119,35364526,242
"120","Barking and Dagenham","201901","Violence Against the Person",297181,119,35364526,491
"121","Barking and Dagenham","201904","Arson and Criminal Damage",295463,120,35455614,135
"122","Barking and Dagenham","201904","Burglary",295463,120,35455614,123
"123","Barking and Dagenham","201904","Drug Offences",295463,120,35455614,110
"125","Barking and Dagenham","201904","Miscellaneous Crimes Against Society",295463,120,35455614,23
"126","Barking and Dagenham","201904","Possession of Weapons",295463,120,35455614,13
"127","Barking and Dagenham","201904","Public Order Offences",295463,120,35455614,103
"128","Barking and Dagenham","201904","Robbery",295463,120,35455614,95
"129","Barking and Dagenham","201904","Sexual Offences",295463,120,35455614,50
"130","Barking and Dagenham","201904","Theft",295463,120,35455614,313
"131","Barking and Dagenham","201904","Vehicle Offences",295463,120,35455614,247
"132","Barking and Dagenham","201904","Violence Against the Person",295463,120,35455614,472
"133","Barking and Dagenham","202003","Arson and Criminal Damage",300166,119,35719703,113
"134","Barking and Dagenham","202003","Burglary",300166,119,35719703,125
"135","Barking and Dagenham","202003","Drug Offences",300166,119,35719703,119
"137","Barking and Dagenham","202003","Miscellaneous Crimes Against Society",300166,119,35719703,15
"138","Barking and Dagenham","202003","Possession of Weapons",300166,119,35719703,15
"139","Barking and Dagenham","202003","Public Order Offences",300166,119,35719703,106
"140","Barking and Dagenham","202003","Robbery",300166,119,35719703,83
"141","Barking and Dagenham","202003","Sexual Offences",300166,119,35719703,57
"142","Barking and Dagenham","202003","Theft",300166,119,35719703,326
"143","Barking and Dagenham","202003","Vehicle Offences",300166,119,35719703,227
"144","Barking and Dagenham","202003","Violence Against the Person",300166,119,35719703,615
"145","Hillingdon","202004","Arson and Criminal Damage",402217,89,35797308,140
"146","Hillingdon","202004","Burglary",402217,89,35797308,110
"147","Hillingdon","202004","Drug Offences",402217,89,35797308,163
"149","Hillingdon","202004","Miscellaneous Crimes Against Society",402217,89,35797308,29
"150","Hillingdon","202004","Possession of Weapons",402217,89,35797308,12
"151","Hillingdon","202004","Public Order Offences",402217,89,35797308,128
"152","Hillingdon","202004","Robbery",402217,89,35797308,24
"153","Hillingdon","202004","Sexual Offences",402217,89,35797308,36
"154","Hillingdon","202004","Theft",402217,89,35797308,219
"155","Hillingdon","202004","Vehicle Offences",402217,89,35797308,206
"156","Hillingdon","202004","Violence Against the Person",402217,89,35797308,535
"157","Hounslow","202004","Arson and Criminal Damage",402412,89,35814671,127
"158","Hounslow","202004","Burglary",402412,89,35814671,133
"159","Hounslow","202004","Drug Offences",402412,89,35814671,195
"161","Hounslow","202004","Miscellaneous Crimes Against Society",402412,89,35814671,35
"162","Hounslow","202004","Possession of Weapons",402412,89,35814671,23
"163","Hounslow","202004","Public Order Offences",402412,89,35814671,126
"164","Hounslow","202004","Robbery",402412,89,35814671,43
"165","Hounslow","202004","Sexual Offences",402412,89,35814671,34
"166","Hounslow","202004","Theft",402412,89,35814671,226
"167","Hounslow","202004","Vehicle Offences",402412,89,35814671,281
"168","Hounslow","202004","Violence Against the Person",402412,89,35814671,567
"169","Bexley","202004","Arson and Criminal Damage",342040,105,35914186,83
"170","Bexley","202004","Burglary",342040,105,35914186,50
"171","Bexley","202004","Drug Offences",342040,105,35914186,89
"173","Bexley","202004","Miscellaneous Crimes Against Society",342040,105,35914186,17
"174","Bexley","202004","Possession of Weapons",342040,105,35914186,9
"175","Bexley","202004","Public Order Offences",342040,105,35914186,75
"176","Bexley","202004","Robbery",342040,105,35914186,9
"177","Bexley","202004","Sexual Offences",342040,105,35914186,20
"178","Bexley","202004","Theft",342040,105,35914186,115
"179","Bexley","202004","Vehicle Offences",342040,105,35914186,110
"180","Bexley","202004","Violence Against the Person",342040,105,35914186,338
"181","Kingston upon Thames","202004","Arson and Criminal Damage",487345,74,36063528,47
"182","Kingston upon Thames","202004","Burglary",487345,74,36063528,40
"183","Kingston upon Thames","202004","Drug Offences",487345,74,36063528,103
"185","Kingston upon Thames","202004","Miscellaneous Crimes Against Society",487345,74,36063528,6
"186","Kingston upon Thames","202004","Possession of Weapons",487345,74,36063528,5
"187","Kingston upon Thames","202004","Public Order Offences",487345,74,36063528,45
"188","Kingston upon Thames","202004","Robbery",487345,74,36063528,6
"189","Kingston upon Thames","202004","Sexual Offences",487345,74,36063528,24
"190","Kingston upon Thames","202004","Theft",487345,74,36063528,108
"191","Kingston upon Thames","202004","Vehicle Offences",487345,74,36063528,63
"192","Kingston upon Thames","202004","Violence Against the Person",487345,74,36063528,237
"193","Barking and Dagenham","201701","Arson and Criminal Damage",282441,129,36434903,127
"194","Barking and Dagenham","201701","Burglary",282441,129,36434903,143
"195","Barking and Dagenham","201701","Drug Offences",282441,129,36434903,70
"197","Barking and Dagenham","201701","Miscellaneous Crimes Against Society",282441,129,36434903,23
"198","Barking and Dagenham","201701","Possession of Weapons",282441,129,36434903,11
"199","Barking and Dagenham","201701","Public Order Offences",282441,129,36434903,50
"200","Barking and Dagenham","201701","Robbery",282441,129,36434903,32
"201","Barking and Dagenham","201701","Sexual Offences",282441,129,36434903,45
"202","Barking and Dagenham","201701","Theft",282441,129,36434903,288
"203","Barking and Dagenham","201701","Vehicle Offences",282441,129,36434903,207
"204","Barking and Dagenham","201701","Violence Against the Person",282441,129,36434903,384
"205","Barking and Dagenham","201604","Arson and Criminal Damage",266744,137,36543886,136
"206","Barking and Dagenham","201604","Burglary",266744,137,36543886,89
"207","Barking and Dagenham","201604","Drug Offences",266744,137,36543886,110
"209","Barking and Dagenham","201604","Miscellaneous Crimes Against Society",266744,137,36543886,21
"210","Barking and Dagenham","201604","Possession of Weapons",266744,137,36543886,12
"211","Barking and Dagenham","201604","Public Order Offences",266744,137,36543886,74
"212","Barking and Dagenham","201604","Robbery",266744,137,36543886,36
"213","Barking and Dagenham","201604","Sexual Offences",266744,137,36543886,39
"214","Barking and Dagenham","201604","Theft",266744,137,36543886,297
"215","Barking and Dagenham","201604","Vehicle Offences",266744,137,36543886,198
"216","Barking and Dagenham","201604","Violence Against the Person",266744,137,36543886,402
"217","Barking and Dagenham","201906","Arson and Criminal Damage",293852,125,36731492,116
"218","Barking and Dagenham","201906","Burglary",293852,125,36731492,123
"219","Barking and Dagenham","201906","Drug Offences",293852,125,36731492,106
"221","Barking and Dagenham","201906","Miscellaneous Crimes Against Society",293852,125,36731492,30
"222","Barking and Dagenham","201906","Possession of Weapons",293852,125,36731492,8
"223","Barking and Dagenham","201906","Public Order Offences",293852,125,36731492,110
"224","Barking and Dagenham","201906","Robbery",293852,125,36731492,108
"225","Barking and Dagenham","201906","Sexual Offences",293852,125,36731492,66
"226","Barking and Dagenham","201906","Theft",293852,125,36731492,278
"227","Barking and Dagenham","201906","Vehicle Offences",293852,125,36731492,246
"228","Barking and Dagenham","201906","Violence Against the Person",293852,125,36731492,496
"229","Merton","202004","Arson and Criminal Damage",508795,74,37650859,71
"230","Merton","202004","Burglary",508795,74,37650859,47
"231","Merton","202004","Drug Offences",508795,74,37650859,96
"233","Merton","202004","Miscellaneous Crimes Against Society",508795,74,37650859,22
"234","Merton","202004","Possession of Weapons",508795,74,37650859,16
"235","Merton","202004","Public Order Offences",508795,74,37650859,58
"236","Merton","202004","Robbery",508795,74,37650859,10
"237","Merton","202004","Sexual Offences",508795,74,37650859,20
"238","Merton","202004","Theft",508795,74,37650859,123
"239","Merton","202004","Vehicle Offences",508795,74,37650859,95
"240","Merton","202004","Violence Against the Person",508795,74,37650859,335
"241","Barking and Dagenham","201605","Arson and Criminal Damage",268081,144,38603597,197
"242","Barking and Dagenham","201605","Burglary",268081,144,38603597,119
"243","Barking and Dagenham","201605","Drug Offences",268081,144,38603597,103
"245","Barking and Dagenham","201605","Miscellaneous Crimes Against Society",268081,144,38603597,20
"246","Barking and Dagenham","201605","Possession of Weapons",268081,144,38603597,18
"247","Barking and Dagenham","201605","Public Order Offences",268081,144,38603597,89
"248","Barking and Dagenham","201605","Robbery",268081,144,38603597,55
"249","Barking and Dagenham","201605","Sexual Offences",268081,144,38603597,45
"250","Barking and Dagenham","201605","Theft",268081,144,38603597,324
"251","Barking and Dagenham","201605","Vehicle Offences",268081,144,38603597,181
"252","Barking and Dagenham","201605","Violence Against the Person",268081,144,38603597,500
"253","Barking and Dagenham","202001","Arson and Criminal Damage",303087,128,38795125,101
"254","Barking and Dagenham","202001","Burglary",303087,128,38795125,147
"255","Barking and Dagenham","202001","Drug Offences",303087,128,38795125,116
"257","Barking and Dagenham","202001","Miscellaneous Crimes Against Society",303087,128,38795125,34
"258","Barking and Dagenham","202001","Possession of Weapons",303087,128,38795125,25
"259","Barking and Dagenham","202001","Public Order Offences",303087,128,38795125,77
"260","Barking and Dagenham","202001","Robbery",303087,128,38795125,85
"261","Barking and Dagenham","202001","Sexual Offences",303087,128,38795125,55
"262","Barking and Dagenham","202001","Theft",303087,128,38795125,292
"263","Barking and Dagenham","202001","Vehicle Offences",303087,128,38795125,251
"264","Barking and Dagenham","202001","Violence Against the Person",303087,128,38795125,494
"265","Barking and Dagenham","202002","Arson and Criminal Damage",303090,128,38795461,108
"266","Barking and Dagenham","202002","Burglary",303090,128,38795461,140
"267","Barking and Dagenham","202002","Drug Offences",303090,128,38795461,112
"269","Barking and Dagenham","202002","Miscellaneous Crimes Against Society",303090,128,38795461,19
"270","Barking and Dagenham","202002","Possession of Weapons",303090,128,38795461,5
"271","Barking and Dagenham","202002","Public Order Offences",303090,128,38795461,73
"272","Barking and Dagenham","202002","Robbery",303090,128,38795461,75
"273","Barking and Dagenham","202002","Sexual Offences",303090,128,38795461,62
"274","Barking and Dagenham","202002","Theft",303090,128,38795461,298
"275","Barking and Dagenham","202002","Vehicle Offences",303090,128,38795461,232
"276","Barking and Dagenham","202002","Violence Against the Person",303090,128,38795461,459
"277","Enfield","202004","Arson and Criminal Damage",395885,98,38796722,103
"278","Enfield","202004","Burglary",395885,98,38796722,112
"279","Enfield","202004","Drug Offences",395885,98,38796722,195
"281","Enfield","202004","Miscellaneous Crimes Against Society",395885,98,38796722,33
"282","Enfield","202004","Possession of Weapons",395885,98,38796722,23
"283","Enfield","202004","Public Order Offences",395885,98,38796722,122
"284","Enfield","202004","Robbery",395885,98,38796722,32
"285","Enfield","202004","Sexual Offences",395885,98,38796722,37
"286","Enfield","202004","Theft",395885,98,38796722,236
"287","Enfield","202004","Vehicle Offences",395885,98,38796722,329
"288","Enfield","202004","Violence Against the Person",395885,98,38796722,642
"289","Barking and Dagenham","201902","Arson and Criminal Damage",293839,139,40843572,130
"290","Barking and Dagenham","201902","Burglary",293839,139,40843572,131
"291","Barking and Dagenham","201902","Drug Offences",293839,139,40843572,76
"293","Barking and Dagenham","201902","Miscellaneous Crimes Against Society",293839,139,40843572,29
"294","Barking and Dagenham","201902","Possession of Weapons",293839,139,40843572,13
"295","Barking and Dagenham","201902","Public Order Offences",293839,139,40843572,82
"296","Barking and Dagenham","201902","Robbery",293839,139,40843572,74
"297","Barking and Dagenham","201902","Sexual Offences",293839,139,40843572,52
"298","Barking and Dagenham","201902","Theft",293839,139,40843572,303
"299","Barking and Dagenham","201902","Vehicle Offences",293839,139,40843572,236
"300","Barking and Dagenham","201902","Violence Against the Person",293839,139,40843572,452
"301","Barking and Dagenham","201601","Arson and Criminal Damage",258758,158,40883747,164
"302","Barking and Dagenham","201601","Burglary",258758,158,40883747,147
"303","Barking and Dagenham","201601","Drug Offences",258758,158,40883747,89
"305","Barking and Dagenham","201601","Miscellaneous Crimes Against Society",258758,158,40883747,13
"306","Barking and Dagenham","201601","Possession of Weapons",258758,158,40883747,12
"307","Barking and Dagenham","201601","Public Order Offences",258758,158,40883747,63
"308","Barking and Dagenham","201601","Robbery",258758,158,40883747,51
"309","Barking and Dagenham","201601","Sexual Offences",258758,158,40883747,36
"310","Barking and Dagenham","201601","Theft",258758,158,40883747,238
"311","Barking and Dagenham","201601","Vehicle Offences",258758,158,40883747,187
"312","Barking and Dagenham","201601","Violence Against the Person",258758,158,40883747,424
"313","Barking and Dagenham","201702","Arson and Criminal Damage",280698,146,40981866,134
"314","Barking and Dagenham","201702","Burglary",280698,146,40981866,171
"315","Barking and Dagenham","201702","Drug Offences",280698,146,40981866,47
"317","Barking and Dagenham","201702","Miscellaneous Crimes Against Society",280698,146,40981866,34
"318","Barking and Dagenham","201702","Possession of Weapons",280698,146,40981866,15
"319","Barking and Dagenham","201702","Public Order Offences",280698,146,40981866,64
"320","Barking and Dagenham","201702","Robbery",280698,146,40981866,51
"321","Barking and Dagenham","201702","Sexual Offences",280698,146,40981866,32
"322","Barking and Dagenham","201702","Theft",280698,146,40981866,274
"323","Barking and Dagenham","201702","Vehicle Offences",280698,146,40981866,217
"324","Barking and Dagenham","201702","Violence Against the Person",280698,146,40981866,373
"325","Waltham Forest","202004","Arson and Criminal Damage",440996,95,41894607,116
"326","Waltham Forest","202004","Burglary",440996,95,41894607,114
"327","Waltham Forest","202004","Drug Offences",440996,95,41894607,161
"329","Waltham Forest","202004","Miscellaneous Crimes Against Society",440996,95,41894607,24
"330","Waltham Forest","202004","Possession of Weapons",440996,95,41894607,21
"331","Waltham Forest","202004","Public Order Offences",440996,95,41894607,99
"332","Waltham Forest","202004","Robbery",440996,95,41894607,44
"333","Waltham Forest","202004","Sexual Offences",440996,95,41894607,32
"334","Waltham Forest","202004","Theft",440996,95,41894607,336
"335","Waltham Forest","202004","Vehicle Offences",440996,95,41894607,283
"336","Waltham Forest","202004","Violence Against the Person",440996,95,41894607,460
"337","Barking and Dagenham","201910","Arson and Criminal Damage",303159,140,42442319,118
"338","Barking and Dagenham","201910","Burglary",303159,140,42442319,127
"339","Barking and Dagenham","201910","Drug Offences",303159,140,42442319,98
"341","Barking and Dagenham","201910","Miscellaneous Crimes Against Society",303159,140,42442319,26
"342","Barking and Dagenham","201910","Possession of Weapons",303159,140,42442319,15
"343","Barking and Dagenham","201910","Public Order Offences",303159,140,42442319,135
"344","Barking and Dagenham","201910","Robbery",303159,140,42442319,103
"345","Barking and Dagenham","201910","Sexual Offences",303159,140,42442319,71
"346","Barking and Dagenham","201910","Theft",303159,140,42442319,325
"347","Barking and Dagenham","201910","Vehicle Offences",303159,140,42442319,252
"348","Barking and Dagenham","201910","Violence Against the Person",303159,140,42442319,524
"349","Barking and Dagenham","201909","Arson and Criminal Damage",304796,140,42671441,115
"350","Barking and Dagenham","201909","Burglary",304796,140,42671441,117
"351","Barking and Dagenham","201909","Drug Offences",304796,140,42671441,90
"353","Barking and Dagenham","201909","Miscellaneous Crimes Against Society",304796,140,42671441,23
"354","Barking and Dagenham","201909","Possession of Weapons",304796,140,42671441,18
"355","Barking and Dagenham","201909","Public Order Offences",304796,140,42671441,98
"356","Barking and Dagenham","201909","Robbery",304796,140,42671441,84
"357","Barking and Dagenham","201909","Sexual Offences",304796,140,42671441,61
"358","Barking and Dagenham","201909","Theft",304796,140,42671441,304
"359","Barking and Dagenham","201909","Vehicle Offences",304796,140,42671441,209
"360","Barking and Dagenham","201909","Violence Against the Person",304796,140,42671441,531
"361","Newham","202002","Arson and Criminal Damage",371245,115,42693122,186
"362","Newham","202002","Burglary",371245,115,42693122,175
"363","Newham","202002","Drug Offences",371245,115,42693122,230
"365","Newham","202002","Miscellaneous Crimes Against Society",371245,115,42693122,28
"366","Newham","202002","Possession of Weapons",371245,115,42693122,23
"367","Newham","202002","Public Order Offences",371245,115,42693122,156
"368","Newham","202002","Robbery",371245,115,42693122,190
"369","Newham","202002","Sexual Offences",371245,115,42693122,73
"370","Newham","202002","Theft",371245,115,42693122,822
"371","Newham","202002","Vehicle Offences",371245,115,42693122,346
"372","Newham","202002","Violence Against the Person",371245,115,42693122,680
"373","Barking and Dagenham","201812","Arson and Criminal Damage",300835,142,42718607,89
"374","Barking and Dagenham","201812","Burglary",300835,142,42718607,197
"375","Barking and Dagenham","201812","Drug Offences",300835,142,42718607,73
"377","Barking and Dagenham","201812","Miscellaneous Crimes Against Society",300835,142,42718607,15
"378","Barking and Dagenham","201812","Possession of Weapons",300835,142,42718607,13
"379","Barking and Dagenham","201812","Public Order Offences",300835,142,42718607,73
"380","Barking and Dagenham","201812","Robbery",300835,142,42718607,61
"381","Barking and Dagenham","201812","Sexual Offences",300835,142,42718607,46
"382","Barking and Dagenham","201812","Theft",300835,142,42718607,277
"383","Barking and Dagenham","201812","Vehicle Offences",300835,142,42718607,196
"384","Barking and Dagenham","201812","Violence Against the Person",300835,142,42718607,503
"385","Haringey","202004","Arson and Criminal Damage",542971,79,42894692,130
"386","Haringey","202004","Burglary",542971,79,42894692,128
"387","Haringey","202004","Drug Offences",542971,79,42894692,236
"389","Haringey","202004","Miscellaneous Crimes Against Society",542971,79,42894692,43
"390","Haringey","202004","Possession of Weapons",542971,79,42894692,23
"391","Haringey","202004","Public Order Offences",542971,79,42894692,137
"392","Haringey","202004","Robbery",542971,79,42894692,78
"393","Haringey","202004","Sexual Offences",542971,79,42894692,46
"394","Haringey","202004","Theft",542971,79,42894692,292
"395","Haringey","202004","Vehicle Offences",542971,79,42894692,329
"396","Haringey","202004","Violence Against the Person",542971,79,42894692,593
"397","Sutton","202004","Arson and Criminal Damage",376945,114,42971714,57
"398","Sutton","202004","Burglary",376945,114,42971714,54
"399","Sutton","202004","Drug Offences",376945,114,42971714,94
"401","Sutton","202004","Miscellaneous Crimes Against Society",376945,114,42971714,28
"402","Sutton","202004","Possession of Weapons",376945,114,42971714,16
"403","Sutton","202004","Public Order Offences",376945,114,42971714,69
"404","Sutton","202004","Robbery",376945,114,42971714,3
"405","Sutton","202004","Sexual Offences",376945,114,42971714,17
"406","Sutton","202004","Theft",376945,114,42971714,108
"407","Sutton","202004","Vehicle Offences",376945,114,42971714,117
"408","Sutton","202004","Violence Against the Person",376945,114,42971714,305
"409","Barking and Dagenham","201804","Arson and Criminal Damage",291184,150,43677576,125
"410","Barking and Dagenham","201804","Burglary",291184,150,43677576,111
"411","Barking and Dagenham","201804","Drug Offences",291184,150,43677576,76
"413","Barking and Dagenham","201804","Miscellaneous Crimes Against Society",291184,150,43677576,25
"414","Barking and Dagenham","201804","Possession of Weapons",291184,150,43677576,21
"415","Barking and Dagenham","201804","Public Order Offences",291184,150,43677576,74
"416","Barking and Dagenham","201804","Robbery",291184,150,43677576,50
"417","Barking and Dagenham","201804","Sexual Offences",291184,150,43677576,47
"418","Barking and Dagenham","201804","Theft",291184,150,43677576,256
"419","Barking and Dagenham","201804","Vehicle Offences",291184,150,43677576,220
"420","Barking and Dagenham","201804","Violence Against the Person",291184,150,43677576,448
"421","Barking and Dagenham","201809","Arson and Criminal Damage",296424,148,43870748,110
"422","Barking and Dagenham","201809","Burglary",296424,148,43870748,132
"423","Barking and Dagenham","201809","Drug Offences",296424,148,43870748,82
"425","Barking and Dagenham","201809","Miscellaneous Crimes Against Society",296424,148,43870748,17
"426","Barking and Dagenham","201809","Possession of Weapons",296424,148,43870748,23
"427","Barking and Dagenham","201809","Public Order Offences",296424,148,43870748,95
"428","Barking and Dagenham","201809","Robbery",296424,148,43870748,68
"429","Barking and Dagenham","201809","Sexual Offences",296424,148,43870748,52
"430","Barking and Dagenham","201809","Theft",296424,148,43870748,246
"431","Barking and Dagenham","201809","Vehicle Offences",296424,148,43870748,210
"432","Barking and Dagenham","201809","Violence Against the Person",296424,148,43870748,433
"433","Barking and Dagenham","201802","Arson and Criminal Damage",292777,150,43916589,114
"434","Barking and Dagenham","201802","Burglary",292777,150,43916589,167
"435","Barking and Dagenham","201802","Drug Offences",292777,150,43916589,81
"437","Barking and Dagenham","201802","Miscellaneous Crimes Against Society",292777,150,43916589,26
"438","Barking and Dagenham","201802","Possession of Weapons",292777,150,43916589,8
"439","Barking and Dagenham","201802","Public Order Offences",292777,150,43916589,68
"440","Barking and Dagenham","201802","Robbery",292777,150,43916589,73
"441","Barking and Dagenham","201802","Sexual Offences",292777,150,43916589,28
"442","Barking and Dagenham","201802","Theft",292777,150,43916589,234
"443","Barking and Dagenham","201802","Vehicle Offences",292777,150,43916589,212
"444","Barking and Dagenham","201802","Violence Against the Person",292777,150,43916589,416
"445","Barking and Dagenham","201612","Arson and Criminal Damage",285622,154,43985769,130
"446","Barking and Dagenham","201612","Burglary",285622,154,43985769,119
"447","Barking and Dagenham","201612","Drug Offences",285622,154,43985769,71
"449","Barking and Dagenham","201612","Miscellaneous Crimes Against Society",285622,154,43985769,29
"450","Barking and Dagenham","201612","Possession of Weapons",285622,154,43985769,11
"451","Barking and Dagenham","201612","Public Order Offences",285622,154,43985769,52
"452","Barking and Dagenham","201612","Robbery",285622,154,43985769,40
"453","Barking and Dagenham","201612","Sexual Offences",285622,154,43985769,40
